county,state,fips
Suffolk,NY,36103
Ulster,NY,36111
Westchester,NY,36119
Adams,PA,42001
Berks,PA,42011
Bucks,PA,42017
Chester,PA,42029
Delaware,PA,42045
Lancaster,PA,42071
Lebanon,PA,42075
Lehigh,PA,42077
Montgomery,PA,42091
Philadelphia,PA,42101
Schuylkill,PA,42107
York,PA,42133
Bristol,RI,44001
Kent,RI,44003
Newport,RI,44005
Providence,RI,44007
Washington,RI,44009
Allendale,SC,45005
Beaufort,SC,45013
Berkeley,SC,45015
Charleston,SC,45019
Chesterfield,SC,45025
Clarendon,SC,45027
Colleton,SC,45029
Darlington,SC,45031
Dillon,SC,45033
Dorchester,SC,45035
Florence,SC,45041
Georgetown,SC,45043
Hampton,SC,45049
Horry,SC,45051
Jasper,SC,45053
Kershaw,SC,45055
Lancaster,SC,45057
Lee,SC,45061
Marion,SC,45067
Marlboro,SC,45069
Sumter,SC,45085
Williamsburg,SC,45089
Aransas,TX,48007
Austin,TX,48015
Bee,TX,48025
Brazoria,TX,48039
Brooks,TX,48047
Calhoun,TX,48057
Cameron,TX,48061
Chambers,TX,48071
Colorado,TX,48089
De Witt,TX,48123
Duval,TX,48131
Fayette,TX,48149
Fort Bend,TX,48157
Galveston,TX,48167
Goliad,TX,48175
Harris,TX,48201
Hidalgo,TX,48215
Jackson,TX,48239
Jasper,TX,48241
Jefferson,TX,48245
Jim Hogg,TX,48247
Jim Wells,TX,48249
Kenedy,TX,48261
Kleberg,TX,48273
Lavaca,TX,48285
Liberty,TX,48291
Live Oak,TX,48297
Matagorda,TX,48321
Newton,TX,48351
Nueces,TX,48355
Orange,TX,48361
Refugio,TX,48391
San Patricio,TX,48409
Starr,TX,48427
Tyler,TX,48457
Victoria,TX,48469
Waller,TX,48473
Washington,TX,48477
Webb,TX,48479
Wharton,TX,48481
Willacy,TX,48489
Accomack,VA,51001
Amelia,VA,51007
Appomattox,VA,51011
Arlington,VA,51013
Buckingham,VA,51029
Caroline,VA,51033
Charles City,VA,51036
Chesterfield,VA,51041
Cumberland,VA,51049
Dinwiddie,VA,51053
Essex,VA,51057
Fairfax,VA,51059
Fauquier,VA,51061
Fluvanna,VA,51065
Gloucester,VA,51073
Goochland,VA,51075
Hanover,VA,51085
Henrico,VA,51087
Isle of Wight,VA,51093
James City,VA,51095
King and Queen,VA,51097
King George,VA,51099
King William,VA,51101
Lancaster,VA,51103
Louisa,VA,51109
Mathews,VA,51115
Middlesex,VA,51119
New Kent,VA,51127
Northampton,VA,51131
Northumberland,VA,51133
Nottoway,VA,51135
Orange,VA,51137
Powhatan,VA,51145
Prince Edward,VA,51147
Prince George,VA,51149
Prince William,VA,51153
Richmond,VA,51159
Spotsylvania,VA,51177
Stafford,VA,51179
Surry,VA,51181
Westmoreland,VA,51193
York,VA,51199
Alexandria,VA,51510
Chesapeake,VA,51550
Colonial Heights,VA,51570
Fairfax,VA,51600
Falls Church,VA,51610
Fredericksburg,VA,51630
Hampton,VA,51650
Hopewell,VA,51670
Manassas,VA,51683
Manassas Park,VA,51685
Newport News,VA,51700
Norfolk,VA,51710
Petersburg,VA,51730
Poquoson,VA,51735
Portsmouth,VA,51740
Richmond,VA,51760
Suffolk,VA,51800
Virginia Beach,VA,51810
Williamsburg,VA,51830
