State,FIPS,Name
PA,42107,Schuylkill
PA,42133,York
RI,44001,Bristol
RI,44003,Kent
RI,44005,Newport
RI,44007,Providence
RI,44009,Washington
SC,45005,Allendale
SC,45013,Beaufort
SC,45015,Berkeley
SC,45019,Charleston
SC,45025,Chesterfield
SC,45027,Clarendon
SC,45029,Colleton
SC,45031,Darlington
SC,45033,Dillon
SC,45035,Dorchester
SC,45041,Florence
SC,45043,Georgetown
SC,45049,Hampton
SC,45051,Horry
SC,45053,Jasper
SC,45055,Kershaw
SC,45057,Lancaster
SC,45061,Lee
SC,45067,Marion
SC,45069,Marlboro
SC,45085,Sumter
SC,45089,Williamsburg
TX,48007,Aransas
TX,48015,Austin
TX,48025,Bee
TX,48039,Brazoria
TX,48047,Brooks
TX,48057,Calhoun
TX,48061,Cameron
TX,48071,Chambers
TX,48089,Colorado
TX,48123,De Witt
TX,48131,Duval
TX,48149,Fayette
TX,48157,Fort Bend
TX,48167,Galveston
TX,48175,Goliad
TX,48201,Harris
TX,48215,Hidalgo
TX,48239,Jackson
TX,48241,Jasper
TX,48245,Jefferson
TX,48247,Jim Hogg
TX,48249,Jim Wells
TX,48261,Kenedy
TX,48273,Kleberg
TX,48285,Lavaca
TX,48291,Liberty
TX,48297,Live Oak
TX,48321,Matagorda
TX,48351,Newton
TX,48355,Nueces
TX,48361,Orange
TX,48391,Refugio
TX,48409,San Patricio
TX,48427,Starr
TX,48457,Tyler
TX,48469,Victoria
TX,48473,Waller
TX,48477,Washington
TX,48479,Webb
TX,48481,Wharton
TX,48489,Willacy
VA,51001,Accomack
VA,51007,Amelia
VA,51011,Appomattox
VA,51013,Arlington
VA,51029,Buckingham
VA,51033,Caroline
VA,51036,Charles City
VA,51041,Chesterfield
VA,51049,Cumberland
VA,51053,Dinwiddie
VA,51057,Essex
VA,51059,Fairfax
VA,51061,Fauquier
VA,51065,Fluvanna
VA,51073,Gloucester
VA,51075,Goochland
VA,51085,Hanover
VA,51087,Henrico
VA,51093,Isle of Wight
VA,51095,James City
VA,51097,King and Queen
VA,51099,King George
VA,51101,King William
VA,51103,Lancaster
VA,51109,Louisa
VA,51115,Mathews
VA,51119,Middlesex
VA,51127,New Kent
VA,51131,Northampton
VA,51133,Northumberland
VA,51135,Nottoway
VA,51137,Orange
VA,51145,Powhatan
VA,51147,Prince Edward
VA,51149,Prince George
VA,51153,Prince William
VA,51159,Richmond
VA,51177,Spotsylvania
VA,51179,Stafford
VA,51181,Surry
VA,51193,Westmoreland
VA,51199,York
VA,51510,Alexandria
VA,51550,Chesapeake
VA,51570,Colonial Heights
VA,51600,Fairfax
VA,51610,Falls Church
VA,51630,Fredericksburg
VA,51650,Hampton
VA,51670,Hopewell
VA,51683,Manassas
VA,51685,Manassas Park
VA,51700,Newport News
VA,51710,Norfolk
VA,51730,Petersburg
VA,51735,Poquoson
VA,51740,Portsmouth
VA,51760,Richmond
VA,51800,Suffolk
VA,51810,Virginia Beach
VA,51830,Williamsburg
FL,12086,Miami-Dade
FL,12011,Broward
FL,12085,Martin
FL,12061,Indian River
FL,12009,Brevard
FL,12127,Volusia
FL,12035,Flagler
FL,12031,Duval
FL,12089,Nassau
FL,12129,Wakulla
FL,12123,Taylor
FL,12131,Walton
